,name,phone,link
0,Atmosphere Canada,+1 403-341-6719,https://www.atmosphere.ca/stores/red-deer.html?utm_source=Organic%20Search&utm_medium=LSS
1,Valhalla Pure Outfitters,+1 403-343-3658,https://vpo.ca/
2,Tamarack Outdoor Outlet,+1 403-627-2227,http://www.hikewaterton.com/
3,Trailblazers Camping & Outdoor Store,+1 403-932-7007,http://www.facebook.com/tbcoscochrane
4,Totem Outdoor Outfitters Ltd: Home of the Sports Exchange,+1 780-432-1223,http://www.totemoutfitters.ca/
5,Breathe Outdoors - formerly Campers Village,+1 780-479-2267,https://breatheoutdoors.ca/
6,Tamarack Outdoors: Gear-Guides-Shuttles,N/A,http://www.hikewaterton.com/
7,Atmosphere Canada,+1 403-760-8249,https://www.atmosphere.ca/stores/cms-banff-avenue.html
8,Atmosphere,+1 403-264-2444,http://atmosphere.ca/
9,Atmosphere Canada,+1 780-638-6150,https://www.atmosphere.ca/stores/south-edmonton-common.html?utm_source=Organic%20Search&utm_medium=LSS
10,Everest Outdoor Stores Ltd,+1 780-852-5902,http://www.outdoorstorejasper.ca/
11,Awesome Adventures Ltd,+1 403-328-5041,http://www.awesomeadventures.ca/
12,Atmosphere Canada,+1 780-460-0220,https://www.atmosphere.ca/stores/st-albert.html
13,MEC Calgary,+1 403-269-2420,https://www.mec.ca/en/stores/calgary?utm_medium=organic&utm_source=google&utm_campaign=my-business-listings&utm_content=calgary
14,Atmosphere,+1 403-217-4197,https://www.atmosphere.ca/
15,Atmosphere Canada,+1 780-444-2019,https://www.atmosphere.ca/stores/west-edmonton-mall.html
16,MEC Edmonton South,+1 780-433-0293,https://www.mec.ca/en/stores/south-edmonton?utm_medium=organic&utm_source=google&utm_campaign=my-business-listings&utm_content=south-edmonton
17,Bass Pro Shops,+1 403-592-3900,https://www.cabelas.ca/find-a-store/rocky%20view/36?y_source=1_MzAxMTU0Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
18,MEC Edmonton,+1 780-488-6614,https://www.mec.ca/en/stores/edmonton?utm_medium=organic&utm_source=google&utm_campaign=my-business-listings&utm_content=edmonton
19,Lac La Biche Sporting Goods,+1 780-623-4145,http://llbsports.ca/
